id,userid,relation,landmark,geometry_type,geometry,geom
5f3556329f3f3a0004cc04a7,89214246-697c-4d3e-b809-85cd473272f8,ENTRE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879301001699766, -7.22382245679239],[-35.879201741807826, -7.22393953721291],[-35.877785276322676, -7.222941691747727],[-35.87787917081506, -7.222835254768114],[-35.879295636300206, -7.223806491278152],[-35.879301001699766, -7.22382245679239]]]}",0103000020E61000000100000006000000FDD16AEF8CF041C07F22D0B631E51CC04FD3C3AE89F041C07C71F26750E51CC0AD5B97445BF041C0B7E2ABD34AE41CC0C23E3C585EF041C0E07FCEEC2EE41CC063B668C28CF041C04EB062872DE51CC0FDD16AEF8CF041C07F22D0B631E51CC0
5f35565d9f3f3a0004cc04a8,89214246-697c-4d3e-b809-85cd473272f8,ENTRE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.8795581953785, -7.224088548613358],[-35.87951258948221, -7.224224255381729],[-35.880349591814344, -7.22476708204778],[-35.880832477775186, -7.225027851488877],[-35.8813341426345, -7.225211454372455],[-35.88185458639231, -7.225325873523042],[-35.88217382766643, -7.225389735361934],[-35.88218724116533, -7.225315229882344],[-35.88192165388687, -7.2252540289435006],[-35.88140121012908, -7.225163557975233],[-35.88102294945975, -7.225027851488877],[-35.88056420779693, -7.224809656660695],[-35.88007059103697, -7.224508973371202],[-35.8795581953785, -7.224088548613358]]]}",0103000020E6100000010000000E0000002B0AEA5C95F041C057CFEE7777E51CC0891F58DE93F041C081560F0B9BE51CC0DDF1A04BAFF041C044738A5729E61CC048A65E1EBFF041C0E2557BB36DE61CC050BBA38ECFF041C06FDBDCD49DE61CC0F830709CE0F041C07AE566D3BBE61CC0739B6D12EBF041C035EF1891CCE61CC075E0F282EBF041C0A48A1E09B9E61CC0078A0ACFE2F041C0156BFEFDA8E61CC061143EC1D1F041C0BD04974691E61CC0407A295CC5F041C0E2557BB36DE61CC00B42F553B6F041C00FBBAC8034E61CC06C563327A6F041C0C12629AEE5E51CC02B0AEA5C95F041C057CFEE7777E51CC0
5f3556779f3f3a0004cc04a9,89214246-697c-4d3e-b809-85cd473272f8,ENTRE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87039860127677, -7.232824256075494],[-35.87054883246458, -7.232914725509412],[-35.86999083090982, -7.233590584824472],[-35.86982450352331, -7.233486811215866],[-35.87038250507808, -7.232816273477511],[-35.87039860127677, -7.232824256075494]]]}",0103000020E61000000100000006000000E37BAB3869EF41C0363D567B69EE1CC0D080E6246EEF41C06A47A33281EE1CC0ED490BDC5BEF41C003E6C95E32EF1CC02FF2C96856EF41C0BDE0A82A17EF1CC01329A5B168EF41C00140A26367EE1CC0E37BAB3869EF41C0363D567B69EE1CC0
5f35569d9f3f3a0004cc04aa,89214246-697c-4d3e-b809-85cd473272f8,ENTRE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.869781756021595, -7.233843366591763],[-35.86962079403463, -7.233710323573994],[-35.86877842630295, -7.234753379781853],[-35.86897158068727, -7.234891744199769],[-35.869781756021595, -7.233843366591763]]]}",0103000020E610000001000000050000009662320255EF41C0B897AFA274EF1CC07026F3BB4FEF41C097F351C251EF1CC08438A82134EF41C07327A33063F01CC0461AF4753AEF41C0EDC01D7687F01CC09662320255EF41C0B897AFA274EF1CC0
5f355c3a9f3f3a0004cc04ab,30d4a655-62aa-420a-b509-17f92f13c3b6,NA RUA - PERTO DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87754967930746, -7.222829932918466],[-35.87791713820451, -7.222462725142115],[-35.879700789055185, -7.223681428063765],[-35.87962032360329, -7.224322709286224],[-35.877552361489194, -7.222832593843297],[-35.87754967930746, -7.222829932918466]]]}",0103000020E61000000100000006000000D39E428C53F041C099D1A9872DE41CC0D897BA965FF041C0F841C444CDE31CC0F3A013099AF041C09A0689BE0CE51CC0F462156697F041C0AD8930DAB4E51CC0D48FC2A253F041C0C4283C3A2EE41CC0D39E428C53F041C099D1A9872DE41CC0
5f355c6a9f3f3a0004cc04ac,30d4a655-62aa-420a-b509-17f92f13c3b6,NA RUA - PERTO DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87965250978405, -7.223649497024756],[-35.87938160942928, -7.223545721132423],[-35.879255546887954, -7.224077904943514],[-35.879609594876364, -7.224309404705786],[-35.87965250978405, -7.223649497024756]]]}",0103000020E61000000100000005000000F4AE147498F041C0E4F3AD5F04E51CC0EF999A938FF041C0AEB2652BE9E41CC0ED5A1D728BF041C051F4A5AD74E51CC0F39E150C97F041C01996555DB1E51CC0F4AE147498F041C0E4F3AD5F04E51CC0
5f355c8d9f3f3a0004cc04ad,30d4a655-62aa-420a-b509-17f92f13c3b6,NA RUA - PERTO DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.869760551285786, -7.23314622074307],[-35.87026480145109, -7.23368903668751],[-35.86930458039163, -7.234923674444046],[-35.86860184877828, -7.234295712558857],[-35.869760551285786, -7.233156864199244],[-35.869760551285786, -7.23314622074307]]]}",0103000020E61000000100000006000000CB8F515054EF41C0241C05E2BDEE1CC0D38B46D664EF41C0C206C82D4CEF1CC0C4855B5F45EF41C05E2CEBD48FF01CC0BADF6A582EEF41C01B221C37EBEF1CC0CB8F515054EF41C06F4B4AACC0EE1CC0CB8F515054EF41C0241C05E2BDEE1CC0
5f355c9c9f3f3a0004cc04ae,30d4a655-62aa-420a-b509-17f92f13c3b6,NA RUA - PERTO DE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86970154328772, -7.233353768093024],[-35.87015751418186, -7.2337795059481245],[-35.86918120003204, -7.235056717104169],[-35.86861794186866, -7.234396825124799],[-35.86970154328772, -7.23334844636729],[-35.86970154328772, -7.233353768093024]]]}",0103000020E61000000100000006000000CAD9526152EF41C07F6E494AF4EE1CC0CFE3485261EF41C0C41612E563EF1CC0C3375E5441EF41C08DAB42B5B2F01CC0BA856ADF2EEF41C0FAC9A8B805F01CC0CAD9526152EF41C033E126E5F2EE1CC0CAD9526152EF41C07F6E494AF4EE1CC0
5f355caa9f3f3a0004cc04af,30d4a655-62aa-420a-b509-17f92f13c3b6,NA FRENTE DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87945671878495, -7.223827778630346],[-35.87933065624363, -7.2240486348502],[-35.87918313624845, -7.223942198131201],[-35.879319927516704, -7.223718680939763],[-35.87945671878495, -7.223827778630346]]]}",0103000020E61000000100000005000000E4B6AA0992F041C05A9DF41B33E51CC0E3772DE88DF041C089945D016DE51CC0DFB0B01289F041C0E4AB841A51E51CC0E2B32D8E8DF041C0EA8F888216E51CC0E4B6AA0992F041C05A9DF41B33E51CC0
5f355cbb9f3f3a0004cc04b0,30d4a655-62aa-420a-b509-17f92f13c3b6,NA FRENTE DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87930651797229, -7.224101853200285],[-35.879558643054935, -7.224232238131538],[-35.87962837977991, -7.223918249865984],[-35.87941916960495, -7.22382245679239],[-35.87930651797229, -7.224101853200285]]]}",0103000020E61000000100000005000000E1ECB01D8DF041C074DFC9F47AE51CC0E46AAB6095F041C074EFC5229DE51CC0E3E4A9A997F041C09B9B60D34AE51CC0E176AECE90F041C07F22D0B631E51CC0E1ECB01D8DF041C074DFC9F47AE51CC0
